Gene.ID	name	Row.names
21ur.type2-1562	21ur.type2-1562	21ur.type2-1562
21ur.type2-1568	21ur.type2-1568	21ur.type2-1568
21ur.type2-1575	21ur.type2-1575	21ur.type2-1575
21ur.type2-1576	21ur.type2-1576	21ur.type2-1576
21ur.type2-158	21ur.type2-158	21ur.type2-158
21ur.type2-1582	21ur.type2-1582	21ur.type2-1582
21ur.type2-1587	21ur.type2-1587	21ur.type2-1587
21ur.type2-1588	21ur.type2-1588	21ur.type2-1588
21ur.type2-159	21ur.type2-159	21ur.type2-159
21ur.type2-1590	21ur.type2-1590	21ur.type2-1590
21ur.type2-1592	21ur.type2-1592	21ur.type2-1592
21ur.type2-1594	21ur.type2-1594	21ur.type2-1594
21ur.type2-16	21ur.type2-16	21ur.type2-16
21ur.type2-1601	21ur.type2-1601	21ur.type2-1601
21ur.type2-1602	21ur.type2-1602	21ur.type2-1602
21ur.type2-161	21ur.type2-161	21ur.type2-161
21ur.type2-1618	21ur.type2-1618	21ur.type2-1618
21ur.type2-1622	21ur.type2-1622	21ur.type2-1622
21ur.type2-163	21ur.type2-163	21ur.type2-163
21ur.type2-1630	21ur.type2-1630	21ur.type2-1630
21ur.type2-1632	21ur.type2-1632	21ur.type2-1632
21ur.type2-1637	21ur.type2-1637	21ur.type2-1637
21ur.type2-164	21ur.type2-164	21ur.type2-164
21ur.type2-1643	21ur.type2-1643	21ur.type2-1643
21ur.type2-1644	21ur.type2-1644	21ur.type2-1644
21ur.type2-1650	21ur.type2-1650	21ur.type2-1650
21ur.type2-1652	21ur.type2-1652	21ur.type2-1652
21ur.type2-1664	21ur.type2-1664	21ur.type2-1664
21ur.type2-167	21ur.type2-167	21ur.type2-167
21ur.type2-1678	21ur.type2-1678	21ur.type2-1678
21ur.type2-1679	21ur.type2-1679	21ur.type2-1679
21ur.type2-168	21ur.type2-168	21ur.type2-168
21ur.type2-1680	21ur.type2-1680	21ur.type2-1680
21ur.type2-1682	21ur.type2-1682	21ur.type2-1682
21ur.type2-1685	21ur.type2-1685	21ur.type2-1685
21ur.type2-1689	21ur.type2-1689	21ur.type2-1689
21ur.type2-1697	21ur.type2-1697	21ur.type2-1697
21ur.type2-17	21ur.type2-17	21ur.type2-17
21ur.type2-170	21ur.type2-170	21ur.type2-170
21ur.type2-1704	21ur.type2-1704	21ur.type2-1704
21ur.type2-1706	21ur.type2-1706	21ur.type2-1706
21ur.type2-1709	21ur.type2-1709	21ur.type2-1709
21ur.type2-1711	21ur.type2-1711	21ur.type2-1711
21ur.type2-1713	21ur.type2-1713	21ur.type2-1713
21ur.type2-1715	21ur.type2-1715	21ur.type2-1715
21ur.type2-1718	21ur.type2-1718	21ur.type2-1718
21ur.type2-1719	21ur.type2-1719	21ur.type2-1719
21ur.type2-1731	21ur.type2-1731	21ur.type2-1731
21ur.type2-174	21ur.type2-174	21ur.type2-174
21ur.type2-1752	21ur.type2-1752	21ur.type2-1752
21ur.type2-1754	21ur.type2-1754	21ur.type2-1754
21ur.type2-1755	21ur.type2-1755	21ur.type2-1755
21ur.type2-1756	21ur.type2-1756	21ur.type2-1756
21ur.type2-1758	21ur.type2-1758	21ur.type2-1758
21ur.type2-176	21ur.type2-176	21ur.type2-176
21ur.type2-1760	21ur.type2-1760	21ur.type2-1760
21ur.type2-1764	21ur.type2-1764	21ur.type2-1764
21ur.type2-177	21ur.type2-177	21ur.type2-177
21ur.type2-1770	21ur.type2-1770	21ur.type2-1770
21ur.type2-1771	21ur.type2-1771	21ur.type2-1771
21ur.type2-1772	21ur.type2-1772	21ur.type2-1772
21ur.type2-1778	21ur.type2-1778	21ur.type2-1778
21ur.type2-1779	21ur.type2-1779	21ur.type2-1779
21ur.type2-1780	21ur.type2-1780	21ur.type2-1780
21ur.type2-1785	21ur.type2-1785	21ur.type2-1785
21ur.type2-179	21ur.type2-179	21ur.type2-179
21ur.type2-1794	21ur.type2-1794	21ur.type2-1794
21ur.type2-1796	21ur.type2-1796	21ur.type2-1796
21ur.type2-1804	21ur.type2-1804	21ur.type2-1804
21ur.type2-1807	21ur.type2-1807	21ur.type2-1807
21ur.type2-1808	21ur.type2-1808	21ur.type2-1808
21ur.type2-1812	21ur.type2-1812	21ur.type2-1812
21ur.type2-1820	21ur.type2-1820	21ur.type2-1820
21ur.type2-1821	21ur.type2-1821	21ur.type2-1821
21ur.type2-1823	21ur.type2-1823	21ur.type2-1823
21ur.type2-1827	21ur.type2-1827	21ur.type2-1827
21ur.type2-1832	21ur.type2-1832	21ur.type2-1832
21ur.type2-184	21ur.type2-184	21ur.type2-184
21ur.type2-185	21ur.type2-185	21ur.type2-185
21ur.type2-1851	21ur.type2-1851	21ur.type2-1851
21ur.type2-1852	21ur.type2-1852	21ur.type2-1852
21ur.type2-186	21ur.type2-186	21ur.type2-186
21ur.type2-1861	21ur.type2-1861	21ur.type2-1861
21ur.type2-1862	21ur.type2-1862	21ur.type2-1862
21ur.type2-1863	21ur.type2-1863	21ur.type2-1863
21ur.type2-1864	21ur.type2-1864	21ur.type2-1864
21ur.type2-1865	21ur.type2-1865	21ur.type2-1865
21ur.type2-1866	21ur.type2-1866	21ur.type2-1866
21ur.type2-1868	21ur.type2-1868	21ur.type2-1868
21ur.type2-187	21ur.type2-187	21ur.type2-187
21ur.type2-1875	21ur.type2-1875	21ur.type2-1875
21ur.type2-1878	21ur.type2-1878	21ur.type2-1878
21ur.type2-1881	21ur.type2-1881	21ur.type2-1881
21ur.type2-1882	21ur.type2-1882	21ur.type2-1882
21ur.type2-1888	21ur.type2-1888	21ur.type2-1888
21ur.type2-1889	21ur.type2-1889	21ur.type2-1889
21ur.type2-1895	21ur.type2-1895	21ur.type2-1895
21ur.type2-19	21ur.type2-19	21ur.type2-19
21ur.type2-1906	21ur.type2-1906	21ur.type2-1906
21ur.type2-1907	21ur.type2-1907	21ur.type2-1907
21ur.type2-1910	21ur.type2-1910	21ur.type2-1910
21ur.type2-1912	21ur.type2-1912	21ur.type2-1912
21ur.type2-1915	21ur.type2-1915	21ur.type2-1915
21ur.type2-1919	21ur.type2-1919	21ur.type2-1919
21ur.type2-1921	21ur.type2-1921	21ur.type2-1921
21ur.type2-1923	21ur.type2-1923	21ur.type2-1923
21ur.type2-1924	21ur.type2-1924	21ur.type2-1924
21ur.type2-193	21ur.type2-193	21ur.type2-193
21ur.type2-1930	21ur.type2-1930	21ur.type2-1930
21ur.type2-1937	21ur.type2-1937	21ur.type2-1937
21ur.type2-1939	21ur.type2-1939	21ur.type2-1939
21ur.type2-1945	21ur.type2-1945	21ur.type2-1945
21ur.type2-1949	21ur.type2-1949	21ur.type2-1949
21ur.type2-1955	21ur.type2-1955	21ur.type2-1955
21ur.type2-1958	21ur.type2-1958	21ur.type2-1958
21ur.type2-1967	21ur.type2-1967	21ur.type2-1967
21ur.type2-197	21ur.type2-197	21ur.type2-197
21ur.type2-1977	21ur.type2-1977	21ur.type2-1977
21ur.type2-198	21ur.type2-198	21ur.type2-198
21ur.type2-1984	21ur.type2-1984	21ur.type2-1984
21ur.type2-1985	21ur.type2-1985	21ur.type2-1985
21ur.type2-1987	21ur.type2-1987	21ur.type2-1987
21ur.type2-1990	21ur.type2-1990	21ur.type2-1990
21ur.type2-1991	21ur.type2-1991	21ur.type2-1991
21ur.type2-1998	21ur.type2-1998	21ur.type2-1998
21ur.type2-1999	21ur.type2-1999	21ur.type2-1999
21ur.type2-2	21ur.type2-2	21ur.type2-2
21ur.type2-20	21ur.type2-20	21ur.type2-20
21ur.type2-2001	21ur.type2-2001	21ur.type2-2001
21ur.type2-2002	21ur.type2-2002	21ur.type2-2002
21ur.type2-201	21ur.type2-201	21ur.type2-201
21ur.type2-2024	21ur.type2-2024	21ur.type2-2024
21ur.type2-203	21ur.type2-203	21ur.type2-203
21ur.type2-2035	21ur.type2-2035	21ur.type2-2035
21ur.type2-2036	21ur.type2-2036	21ur.type2-2036
21ur.type2-2038	21ur.type2-2038	21ur.type2-2038
21ur.type2-2039	21ur.type2-2039	21ur.type2-2039
21ur.type2-204	21ur.type2-204	21ur.type2-204
21ur.type2-2044	21ur.type2-2044	21ur.type2-2044
21ur.type2-205	21ur.type2-205	21ur.type2-205
21ur.type2-2050	21ur.type2-2050	21ur.type2-2050
21ur.type2-2051	21ur.type2-2051	21ur.type2-2051
21ur.type2-2053	21ur.type2-2053	21ur.type2-2053
21ur.type2-2055	21ur.type2-2055	21ur.type2-2055
21ur.type2-2056	21ur.type2-2056	21ur.type2-2056
21ur.type2-2058	21ur.type2-2058	21ur.type2-2058
21ur.type2-206	21ur.type2-206	21ur.type2-206
21ur.type2-2060	21ur.type2-2060	21ur.type2-2060
21ur.type2-2061	21ur.type2-2061	21ur.type2-2061
21ur.type2-2062	21ur.type2-2062	21ur.type2-2062
21ur.type2-2066	21ur.type2-2066	21ur.type2-2066
21ur.type2-2074	21ur.type2-2074	21ur.type2-2074
21ur.type2-2079	21ur.type2-2079	21ur.type2-2079
21ur.type2-2083	21ur.type2-2083	21ur.type2-2083
21ur.type2-2084	21ur.type2-2084	21ur.type2-2084
21ur.type2-2086	21ur.type2-2086	21ur.type2-2086
21ur.type2-2089	21ur.type2-2089	21ur.type2-2089
21ur.type2-2093	21ur.type2-2093	21ur.type2-2093
21ur.type2-2094	21ur.type2-2094	21ur.type2-2094
21ur.type2-2095	21ur.type2-2095	21ur.type2-2095
21ur.type2-2097	21ur.type2-2097	21ur.type2-2097
21ur.type2-21	21ur.type2-21	21ur.type2-21
21ur.type2-2105	21ur.type2-2105	21ur.type2-2105
21ur.type2-2109	21ur.type2-2109	21ur.type2-2109
21ur.type2-2114	21ur.type2-2114	21ur.type2-2114
21ur.type2-2116	21ur.type2-2116	21ur.type2-2116
21ur.type2-2126	21ur.type2-2126	21ur.type2-2126
21ur.type2-2128	21ur.type2-2128	21ur.type2-2128
21ur.type2-2138	21ur.type2-2138	21ur.type2-2138
21ur.type2-214	21ur.type2-214	21ur.type2-214
21ur.type2-2147	21ur.type2-2147	21ur.type2-2147
21ur.type2-2150	21ur.type2-2150	21ur.type2-2150
21ur.type2-2151	21ur.type2-2151	21ur.type2-2151
21ur.type2-2152	21ur.type2-2152	21ur.type2-2152
21ur.type2-2153	21ur.type2-2153	21ur.type2-2153
21ur.type2-2156	21ur.type2-2156	21ur.type2-2156
21ur.type2-2157	21ur.type2-2157	21ur.type2-2157
21ur.type2-216	21ur.type2-216	21ur.type2-216
21ur.type2-2169	21ur.type2-2169	21ur.type2-2169
21ur.type2-217	21ur.type2-217	21ur.type2-217
21ur.type2-2171	21ur.type2-2171	21ur.type2-2171
21ur.type2-2172	21ur.type2-2172	21ur.type2-2172
21ur.type2-2176	21ur.type2-2176	21ur.type2-2176
21ur.type2-2188	21ur.type2-2188	21ur.type2-2188
21ur.type2-2189	21ur.type2-2189	21ur.type2-2189
21ur.type2-2193	21ur.type2-2193	21ur.type2-2193
21ur.type2-2196	21ur.type2-2196	21ur.type2-2196
21ur.type2-2198	21ur.type2-2198	21ur.type2-2198
21ur.type2-221	21ur.type2-221	21ur.type2-221
21ur.type2-2216	21ur.type2-2216	21ur.type2-2216
21ur.type2-2219	21ur.type2-2219	21ur.type2-2219
21ur.type2-222	21ur.type2-222	21ur.type2-222
21ur.type2-2221	21ur.type2-2221	21ur.type2-2221
21ur.type2-2228	21ur.type2-2228	21ur.type2-2228
21ur.type2-2234	21ur.type2-2234	21ur.type2-2234
21ur.type2-224	21ur.type2-224	21ur.type2-224
21ur.type2-2242	21ur.type2-2242	21ur.type2-2242
21ur.type2-2254	21ur.type2-2254	21ur.type2-2254
21ur.type2-2257	21ur.type2-2257	21ur.type2-2257
21ur.type2-2258	21ur.type2-2258	21ur.type2-2258
